depth                number of cases      avg search cost      avg time in millis  
0                    1                    1.000000             0.000000            
1                    2                    4.000000             0.000000            
2                    4                    6.000000             0.000000            
3                    8                    8.500000             0.000125            
4                    16                   9.750000             0.000000            
5                    20                   12.000000            0.000000            
6                    39                   14.615385            0.000026            
7                    62                   18.645161            0.000000            
8                    116                  21.732759            0.000017            
9                    152                  26.986842            0.000053            
10                   286                  33.290210            0.000035            
11                   396                  44.320707            0.000058            
12                   748                  56.655080            0.000082            
13                   1024                 78.359375            0.000090            
14                   1893                 100.746434           0.000132            
15                   2512                 142.013535           0.000179            
16                   4485                 183.318618           0.000237            
17                   5638                 256.841256           0.000326            
18                   9528                 331.798489           0.000421            
19                   10878                467.669792           0.000608            
20                   16993                606.801095           0.000801            
21                   17110                860.938983           0.001151            
22                   23952                1123.053190          0.001522            
23                   20224                1610.729430          0.002232            
24                   24047                2120.790119          0.002994            
25                   15578                3073.549429          0.004490            
26                   14560                4073.556250          0.006191            
27                   6274                 5936.993465          0.009577            
28                   3910                 7801.117647          0.013437            
29                   760                  11446.552632         0.021818            
30                   221                  15364.217195         0.033213            
31                   2                    14104.000000         0.027500            
